n_cyanos,co2,light,SucRatio,Nsample,a,mu
262, 73.57885953177257, 0.36789360869565213,0.451505017,13123, 5.033992853368872, 5.483011087981145
610, 74.58219397993311, 0.48160586956521734, 0.9698996655518395,12474, 1.0184058150216706, 1.830727293657415
118, 33.11103678929766, 0.6254184347826087, 0.9096989966555185,8867, 2.5691591140138237, 3.3306616800870112
159,8.027675585, 0.5752512608695651, 0.13712374581939799,16494, 1.8373405735717037, 3.3715701837801215
957, 38.79659866220736, 0.9397993913043479, 0.23411371237458192,10267, 0.9992679392882291, 2.059302793635216
82, 25.41880602006689, 0.19732521739130435, 0.4615384615384615,18628, 5.394049142753422, 5.7580122108913905
179, 84.94998327759197, 0.8394650434782609, 0.7558528428093645,10752, 5.316784865688392, 5.364228189074155
847, 77.92664214046822, 0.7892978695652173, 0.8060200668896321,9303,0.882393014, 1.6917340615503547
960, 81.60553511705686, 0.5919736521739131, 0.4080267558528428,17102, 1.6236264657651338, 2.8722172632171414
272, 10.368789297658862, 0.3411377826086956, 0.7391304347826086,8079, 0.4095657700995103, 1.6894822347129632
519, 29.766588628762538, 0.5083616956521739, 0.3879598662207358,16770, 1.0099299746943868, 2.1039920417999047
663, 18.729909698996654, 0.5986626086956522, 0.6956521739130435,10459, 0.3751006785125829, 1.8343788326520851
78, 39.79993311036789, 0.7224083043478261, 0.31438127090301005,6977, 11.843936113559577,10.64483014
870, 61.20440133779264, 0.4715724347826087, 0.45484949832775917,11520, 1.1659293470055971, 2.259358877136724
239,8.027675585, 0.3411377826086956, 0.8494983277591973,13834, 0.3716835397250792, 1.7905203254172775
626, 94.64888294314382, 0.2909706086956521,0.862876254,14047, 1.5710694587168976, 2.518523129272226
686, 69.56552173913043, 0.1705693913043478, 0.32441471571906355,1818, 2.136428732693048, 3.5421151098215486
42, 16.388795986622075, 0.7692309999999999, 0.5785953177257526,2121, 5.599333354692231, 5.750183826520536
924, 68.89663210702341, 0.20401417391304347, 0.4180602006688963,4126, 1.3197670814862386, 2.516511143909387
977, 75.91997324414716,0.662207696, 0.9665551839464883,9596, 0.6058547331136356, 1.4523628268397448
319, 77.59219732441471, 0.7658865217391304, 0.5117056856187291,1689, 3.936609319963374,4.616898334
813, 20.067688963210703, 0.14715804347826086, 0.8193979933110368,12799, 0.27601237999052136, 1.7969355792823245
149, 46.82327424749163, 0.15050252173913045,0.431438127,8956,5.728910125,6.05959473
12, 10.03434448160535, 0.6521742608695652, 0.5451505016722408,1237, 13.096267139364548, 11.202044207778448
967, 63.87995986622073,0.515050652, 0.8528428093645485,797, 0.5904499799125453, 1.442263907094281
366, 64.54884949832777, 0.2207365652173913, 0.4214046822742475,4414, 3.2722296643500215,4.184341444
376, 23.077692307692306, 0.27759269565217387,0.705685619,13634, 0.6722938022028535, 1.6207762793813432
162, 56.187729096989955, 0.11371326086956521, 0.17725752508361203,16490, 10.792987378022197, 10.220109639549161
823, 92.97665886287626, 0.2541813478260869,0.822742475,10498, 1.0854556051183604, 1.986381695948504
536, 91.97332441471572, 0.6488297826086957, 0.5384615384615384,891, 2.564665647413554, 3.633038107695147
867, 43.478826086956516, 0.36454913043478254, 0.3879598662207358,17735, 0.8664398869072033, 2.0251196210704214
496,65.55218395, 0.6254184347826087, 0.15384615384615385,13901, 4.379620493233844, 5.3511112326736265
162, 38.79659866220736, 0.33110434782608694, 0.21739130434782608,10937, 6.782693318060749,7.104711992
523, 6.021006688963211, 0.7090303913043478, 0.13712374581939799,16956, 0.3591906529518611, 1.8321715321262542
182, 60.20106688963211,0.090301913, 0.4180602006688963,12981, 6.1748253563525655, 6.336650981008377
453, 17.392130434782608, 0.5618733478260869, 0.8862876254180602,16200, 0.38310316300559827, 1.5465859253977663
149,93.97999331, 0.023412347826086956, 0.3277591973244147,19450, 14.288794782156469, 12.200407820427865
630, 6.689896321070234,0.946488348, 0.5752508361204013,5830, 0.13514732641447427, 1.785001380561643
616, 12.709903010033443, 0.22742552173913042, 0.9531772575250836,10253, 0.1780783323402351, 1.9427550636480766
52, 48.16105351170568, 0.7391306956521738, 0.7324414715719063,16085, 10.952684808200411, 9.136412939937749
95, 50.50216722408026, 0.23076999999999998, 0.1939799331103679,10312, 15.59344283745227, 13.666906413631825
25, 38.46215384615384, 0.23411447826086954, 0.6688963210702341,18538, 20.382297896935842, 15.50449578093476
229, 87.95998662207357, 0.14381356521739128, 0.37792642140468224,18244,7.744077795, 7.546300962394233
954, 49.83327759197324, 0.5117061739130435, 0.8394648829431438,17538,0.498354615, 1.7218390546596223
934, 29.766588628762538, 0.040134739130434784, 0.9431438127090301,9647, 0.2660198858167178, 1.5476944614913553
476, 3.3454481605351165, 0.15050252173913045, 0.21739130434782608,13059, 0.16504601516361314, 1.8014413045950677
680, 73.57885953177257, 0.7558530869565216, 0.4180602006688963,10973, 1.977369172065957, 3.2603397415348345
296, 28.763254180602004,0.083612957, 0.9899665551839465,12253, 0.7404676568377613, 1.5479853608529657
610, 24.415471571906355, 0.48160586956521734, 0.46822742474916385,12472, 0.6525267635827029, 1.7818445808398933
433, 4.014337792642141, 0.6822745652173913, 0.5819397993311037,14329,0.135826697, 2.0798182175769253
346, 28.09436454849498, 0.9765886521739131, 0.3846153846153846,9452, 1.6279221027768565, 2.972851920773275
419,77.25775251, 0.043479217391304344, 0.2809364548494983,9802, 4.477779647560206, 5.272494483705782
212, 40.803267558528425, 0.5418064782608696, 0.9933110367892977,3112, 1.670631780281589, 2.4591490286855593
35, 21.40546822742475, 0.46822795652173904, 0.8294314381270903,12748, 6.433726826266746,5.958277544
546, 90.96998996655519, 0.9665552173913043, 0.5418060200668896,10688, 2.394775991443773, 3.546333788269491
142, 51.83994648829431, 0.9665552173913043,0.040133779,18666, 17.360991886430373, 15.512219951382264
914, 17.057685618729096, 0.4615389999999999, 0.9933110367892977,14499, 0.14366616213709416, 1.5120381213457013
593, 50.50216722408026, 0.7123748695652173, 0.5618729096989966,17395, 1.1353158645666197, 2.156838028542452
326, 76.92330769230769,0.033445783, 0.7591973244147157,12368, 2.577946150198031, 3.3923864570621762
302, 36.78992976588628, 0.5685623043478261, 0.8494983277591973,6169, 1.1693656417039613, 2.018650399451236
362, 22.074357859531773, 0.12374669565217392, 0.4615384615384615,14771, 0.9312391721711717, 1.8995130860133682
342, 12.709903010033443, 0.39130495652173913, 0.3076923076923077,13427,0.690397033, 1.8136654944756656
8, 58.52884280936455, 0.5551843913043478,0.080267559,12670, 110.74976151777851, 85.31368504349045
416, 79.93331103678929, 0.6187294782608697,0.685618729,8054, 2.3352376243518305, 3.376563446493045
155,40.13437793, 0.6588632173913044, 0.9565217391304348,9861, 2.259132259377143, 3.118788818956719
563, 39.131043478260864,0.946488348, 0.6789297658862876,4009, 0.7778674060065368, 1.7132701753422874
727, 4.014337792642141, 0.36789360869565213, 0.8729096989966555,15195, 0.017881810867283177, 4.263655544033444
12, 5.017672240802676,0.060201609, 0.49498327759197325,8531,7.005461568, 6.790899207514676
753,97.32444147, 0.22742552173913042,0.431438127,10052, 2.2932253459582483, 3.534189840155027
466, 8.362120401337792,0.036790261, 0.8394648829431438,16317, 0.19395939944859664, 1.8052934860518528
38, 8.362120401337792, 0.3244153913043478, 0.45819397993311034,18996, 3.8444658701695835, 4.709318090762146
884, 35.452150501672236,0.080268478, 0.3277591973244147,6452,0.742834109, 1.6549593613116709
316, 29.766588628762538, 0.7056859130434783, 0.7090301003344481,16910, 1.0985132035873468, 2.0808063069550236
102, 62.207735785953176, 0.6421408260869566,0.862876254,3416, 6.092995903295087, 5.666925464867672
122, 95.65221739130435, 0.14715804347826086, 0.6387959866220736,9017, 10.82982725123656, 9.249637622966391
590, 84.28109364548494, 0.6053515652173913, 0.8729096989966555,17170, 1.3768564887571844, 2.2970365632978798
48, 91.97332441471572,0.876254304, 0.9665551839464883,7439, 17.707640046512807, 12.839246296320226
506, 70.90330100334448, 0.13043565217391304, 0.5484949832775919,13812, 2.103779592451301, 3.341123424861939
232, 24.081026755852843, 0.6187294782608697, 0.7090301003344481,18154, 1.1340088899624843, 2.2044156433938062
486, 74.58219397993311, 0.6856190434782609, 0.3277591973244147,4419, 3.308310946417683, 4.299742128677231
296, 95.65221739130435, 0.7324417391304348,0.066889632,3596, 13.80598972500612, 12.677042525704552
212, 73.57885953177257, 0.9732441739130435, 0.42474916387959866,3088, 6.386756505647968, 6.540915886570527
603, 10.703234113712373, 0.8227426521739131, 0.7190635451505016,5276, 0.23775620637448808, 2.038645231940475
1000, 90.30110033444817,0.538462, 0.46822742474916385,19723, 1.5486879819150003, 2.638201401133179
646, 15.71990635451505, 0.7391306956521738, 0.9130434782608696,4428, 0.2382118808100017, 1.7105463610020295
493, 33.44548160535117,0.585284696, 0.5150501672240803,16968, 0.9545354834786461, 1.9330666231415974
182, 44.48216053511705, 0.6254184347826087,0.003344482,3518, 13.412641536794938, 12.607596110372958
419, 27.091030100334446, 0.5451509565217391, 0.7826086956521738,9805, 0.6495323471520108, 1.6738655895871692
870, 61.873290969899664, 0.4180607826086956, 0.033444816053511704,6328, 3.3073023616444788, 4.579768879061826
777,0.001, 0.5585288695652174, 0.9163879598662208,3746, 3.7660557585160405e-06,0.000538897
576, 81.27109030100334, 0.8829432608695652,0.090301003,13611, 5.592223153578826, 6.413522584179678
88, 76.92330769230769, 0.7391306956521738, 0.8695652173913043,13765, 8.928721599501177, 7.5458423127263305
593, 76.25441806020066, 0.9030101304347826, 0.39464882943143814,542, 2.427711424840188, 3.651482094951748
740, 38.79659866220736, 0.8193981739130435, 0.37792642140468224,17218, 0.9178382270538264, 2.0552136257194538
252, 48.495498327759194, 0.6321073913043479, 0.6655518394648829,7839, 2.390004944021061, 3.4455972176527463
199, 82.60886956521739, 0.6321073913043479, 0.8494983277591973,1223, 4.415237278728728, 4.600774055962783
322, 15.385461538461538, 0.5919736521739131,0.063545151,1775, 2.0101570739117114, 3.599650908330062
539, 36.12104013377926, 0.6421408260869566, 0.8963210702341138,8232, 0.5597368132552935, 1.5268345225132627
693, 33.44548160535117, 0.4280942173913043, 0.34448160535117056,4899, 0.9036080830599784, 1.9370238742736168
837,65.88662876, 0.3846159999999999, 0.29765886287625415,19137, 1.8347629019096754, 3.191903148534136
536, 7.024341137123745, 0.36454913043478254, 0.34782608695652173,2175, 0.2558675238878319, 1.8982266064703142
623, 17.392130434782608, 0.32107091304347823, 0.5953177257525084,6526, 0.35510608346275274, 1.6974086063389515
543, 29.432143812709025, 0.1906362608695652, 0.9498327759197325,15328, 0.39828045901157594, 1.4283491188272963
42,77.25775251, 0.7926423478260869, 0.34782608695652173,6209,39.42464017, 30.23911220302632
860, 82.27442474916388, 0.6321073913043479,0.036789298,1284, 4.620273755863681, 5.702457539591623
717, 93.64554849498329, 0.6153850000000001, 0.2909698996655518,14803, 2.9734637183281247, 4.1026887575125786
12, 24.749916387959868, 0.4515055652173912, 0.6254180602006689,14530, 29.367034639108166, 21.70131316001785
947, 70.90330100334448, 0.8996656521739131, 0.36454849498327757,2770, 1.4969198110070085, 2.7568068132395975
78, 91.97332441471572, 0.25752582608695646, 0.3377926421404682,2675, 25.783483546711043, 20.706666360647315
603, 76.58886287625417, 0.15050252173913045,0.08361204,16901,5.135966236, 6.074232209540613
807, 84.94998327759197,0.585284696, 0.18729096989966554,18259, 3.080799283849244, 4.282532613901867
696, 86.95665217391304, 0.4180607826086956, 0.6956521739130435,5405, 1.5294121358495307, 2.5367864871234054
964, 61.873290969899664,0.307693, 0.020066889632107024,15209, 3.176805748441811, 4.465184169447825
549, 74.58219397993311, 0.7424751739130434, 0.9933110367892977,2543, 1.1005929448999667, 1.8698764760682345
593,54.51550502, 0.7157193478260869,0.063545151,13943, 3.946560981358679, 5.124888837876708
392, 32.44214715719063, 0.21070313043478262, 0.13377926421404682,2318,2.689878929, 4.037311224836914
219, 85.28442809364549, 0.5217396086956522, 0.23076923076923075,11533, 10.607150160831903, 9.966308370750458
239, 14.382127090301001, 0.39799391304347825, 0.5652173913043478,2375, 0.8412214696142862, 1.7166218547437735
646, 79.59886622073577, 0.053512652173913045, 0.1471571906354515,2945, 4.146379086734975, 5.115457135855247
793, 62.207735785953176, 0.23745895652173912, 0.4013377926421405,13155, 1.5151310149412043,2.796372898
503,99.66555518, 0.4180607826086956, 0.12040133779264214,13883, 7.144250712245046, 7.503868833988202
823, 43.478826086956516,0.668896652, 0.5050167224080268,18677, 0.7800930721652116, 1.7633346333667348
837, 88.29443143812709, 0.15719147826086957, 0.47157190635451507,2304, 1.8192542275893013, 3.0624901391914565
149, 82.60886956521739, 0.7491641304347826,0.073578595,9441, 23.33825540424214, 19.957173896350717
242, 0.6698896321070233,0.876254304,0.939799331,15495, 3.7660557585160405e-06,0.000538897
205, 6.689896321070234, 0.27759269565217387, 0.4214046822742475,18475, 0.47338291722277975, 1.5080610183733134
78, 83.27775919732441, 0.14046908695652172, 0.9698996655518395,19918, 9.881528703675155, 7.938131691771082
810, 31.10436789297659, 0.5484954347826086, 0.3277591973244147,1572, 0.7310987713365452,1.696929849
132, 22.074357859531773, 0.26087030434782604, 0.5418060200668896,4836, 2.4253083901889334, 3.5648138057854784
787, 78.92997658862876, 0.14046908695652172, 0.5484949832775919,6423, 1.5381810242986773, 2.6496596529990137
102, 26.422140468227425, 0.49498378260869563, 0.3745819397993311,353, 5.405644353111362, 5.916199127365808
306, 73.91330434782608, 0.5919736521739131, 0.35785953177257523,12967, 4.993554538208337,5.580059902
793, 98.99666555183947, 0.5183951304347826, 0.8561872909698997,16779, 1.199770314373715, 2.098912161050984
259, 15.051016722408027, 0.39799391304347825, 0.8093645484949833,12739, 0.5394228999775337, 1.7425385244903773
650, 54.18106020066889, 0.37123808695652166, 0.23411371237458192,3212, 2.1593875342175908, 3.7127773964509063
914, 28.09436454849498, 0.9331104347826087, 0.1705685618729097,16795, 0.8109171576584174, 1.9942557186165424
456, 38.79659866220736, 0.9397993913043479, 0.23411371237458192,10266, 2.1829106509986596,3.553828892
897, 94.98332775919732, 0.9832776086956522, 0.6789297658862876,18255, 1.351781825760291, 2.3431728397074334
399, 21.73991304347826, 0.8862877391304348,0.090301003,3008, 2.048428071745864, 3.658109654016936
189, 44.816605351170566, 0.22742552173913042, 0.9498327759197325,3840, 2.090985782933564, 3.049257039396635
48, 56.187729096989955, 0.9698996956521739,0.882943144,78, 11.845288637419804, 9.361753883264276
516,62.87662542, 0.18060282608695652, 0.5117056856187291,9262, 1.8961775939852425, 3.132162665659271
703, 70.56885618729096,0.846154, 0.6755852842809364,17689, 1.2096122897132433, 2.109493444200139
349, 67.22440802675585, 0.49498378260869563, 0.43478260869565216,15031, 3.520564449250991, 4.364816968027755
463, 59.532177257525085, 0.25752582608695646, 0.7591973244147157,4372, 1.391490392474322, 2.3784192174129375
